Delaunay polytope 40 vertices centrally symmetric
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 1 2 0 -1 -2
 1 1 1 2 0 -1 -3
 0 0 1 2 0 -1 -1
 1 0 1 2 0 -1 -2
 0 1 0 0 0 1 -1
 1 1 0 0 0 1 -2
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 0 1 1 0 -1 0
 1 0 1 1 0 -1 -1
 0 1 0 -1 0 1 0
 1 1 0 -1 0 1 -1
 0 0 0 -1 0 1 1
 1 0 0 -1 0 1 0
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 36 vertices
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 0 1 1 1 -1 -1
 1 0 1 1 1 -1 -2
 0 1 1 0 1 -1 -1
 1 1 1 0 1 -1 -2
 0 0 1 0 1 -1 0
 1 0 1 0 1 -1 -1
 0 1 0 0 0 1 -1
 1 1 0 0 0 1 -2
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 -1 0 0 1 0
 1 1 -1 0 0 1 -1
 0 0 -1 0 0 1 1
 1 0 -1 0 0 1 0
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 32 vertices
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 1 0 1 0 -2
 1 1 1 0 1 0 -3
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 0 0 -1 0 1 1
 1 0 0 -1 0 1 0
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 36 vertices
 0 1 1 0 1 0 -2
 1 1 1 0 1 0 -3
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 1 1 0 2 -1 -2
 1 1 1 0 2 -1 -3
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 0 0 1 -1 1 0
 1 0 0 1 -1 1 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 0 1 -1 -1
 1 1 1 0 1 -1 -2
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 36 vertices centrally symmetric
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 1 2 0 -1 -2
 1 1 1 2 0 -1 -3
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 1 -1 0 -1
 1 1 1 1 -1 0 -2
 0 0 1 1 -1 0 0
 1 0 1 1 -1 0 -1
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 0 0 -1 0 1 1
 1 0 0 -1 0 1 0
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 32 vertices
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 0 0 -1 0 1 1
 1 0 0 -1 0 1 0
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 1 0 -1 1 0
 1 0 1 0 -1 1 -1
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 1 0 1 1 -1 -1
 1 1 0 1 1 -1 -2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 28 vertices
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 -1 0 0 1 1
 1 0 -1 0 0 1 0
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 0 0 -1 0 1 1
 1 0 0 -1 0 1 0
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 28 vertices
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 0 1 1 -1 -1
 1 1 0 1 1 -1 -2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 0 0 -1 0 1 1
 1 0 0 -1 0 1 0
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 28 vertices
 0 0 0 1 1 0 -1
 1 0 0 1 1 0 -2
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 -1 0 0 0 1 1
 1 -1 0 0 0 1 0
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 0 1 -1 -1
 1 1 1 0 1 -1 -2
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 36 vertices centrally symmetric
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 1 1 2 2 0 -1 -4
 0 0 0 0 0 1 0
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 1 1 1 2 0 -1 -3
 0 0 -1 0 0 1 1
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 1 -1 0 -1
 1 1 1 1 -1 0 -2
 1 1 2 2 -1 -1 -3
 0 0 0 0 -1 1 1
 0 0 1 1 -1 0 0
 1 0 1 1 -1 0 -1
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 1 1 1 1 1 -1 -3
 0 0 -1 -1 1 1 1
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 1 1 2 1 0 -1 -3
 0 0 0 -1 0 1 1
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 1 1 1 1 0 -1 -2
 0 0 -1 -1 0 1 2
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 32 vertices centrally symmetric
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 1 1 1 2 0 -1 -3
 0 0 0 0 0 1 0
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 1 0 -1 1 0
 0 1 1 1 -1 0 -1
 1 1 1 1 -1 0 -2
 0 0 1 1 -1 0 0
 1 0 1 1 -1 0 -1
 0 0 0 0 -1 1 1
 1 1 1 1 1 -1 -3
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 1 1 0 1 1 -1 -2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 1 1 1 1 0 -1 -2
 0 0 0 -1 0 1 1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 23 vertices
 0 0 0 0 0 1 0
 1 1 1 1 1 -1 -3
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 -1 0 0 1 1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 0 0 -1 0 1 1
 0 0 0 0 -1 1 1
 1 1 1 0 1 -1 -2
 1 1 1 1 0 -1 -2
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 28 vertices
 0 0 0 0 0 1 0
 0 -1 0 0 0 1 1
 0 0 0 1 1 0 -1
 1 0 0 1 1 0 -2
 0 0 -1 0 0 1 1
 0 -1 -1 0 0 1 2
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 0 0 -1 0 1 1
 0 -1 0 -1 0 1 2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 0 0 0 -1 1 1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 -1 0 -1 1 2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 0 0 -1 -1 1 2
 1 1 1 1 1 -1 -3
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 30 vertices
 0 0 0 0 0 1 0
 0 0 0 1 1 0 -1
 1 0 0 1 1 0 -2
 0 0 -1 0 0 1 1
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 0 0 -1 0 1 1
 1 0 1 1 2 -1 -3
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 0 0 -1 1 0
 0 0 0 0 -1 1 1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 -1 0 -1 1 1
 0 0 -1 0 -1 1 2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 -1 -1 1 1
 0 0 0 -1 -1 1 2
 1 1 1 1 1 -1 -3
 1 0 1 1 1 -1 -2
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 24 vertices
 0 0 0 1 1 0 -1
 1 0 0 1 1 0 -2
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 0 0 0 0 1 0
 0 -1 0 0 0 1 1
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 1 1 1 1 1 -1 -3
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 1 1 0 1 1 -1 -2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 1 1 1 0 1 -1 -2
 0 0 0 0 -1 1 1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 30 vertices
 0 0 0 0 0 1 0
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 1 1 1 1 1 -1 -3
 0 0 -1 1 -1 1 1
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 -1 0 0 1 1
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 1 1 2 0 1 -1 -3
 0 0 0 0 -1 1 1
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 0 0 -1 0 1 1
 0 0 1 -1 1 0 0
 1 0 1 -1 1 0 -1
 0 1 0 1 -1 0 0
 1 1 0 1 -1 0 -1
 1 1 1 1 0 -1 -2
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 1 1 1 0 1 -1 -2
 0 0 -1 0 -1 1 2
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 30 vertices
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 1 1 0 2 0 -1 -2
 0 0 0 0 0 1 0
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 0 0 -1 1 0
 0 1 0 1 -1 0 0
 1 1 0 1 -1 0 -1
 0 0 0 0 -1 1 1
 1 1 1 1 1 -1 -3
 0 0 1 0 1 0 -1
 1 0 1 0 1 0 -2
 1 0 1 1 1 -1 -2
 1 1 0 1 1 -1 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 1 0 0 1 1 -1 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 1 1 1 1 0 -1 -2
 0 0 1 -1 0 1 0
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 1 1 0 1 0 -1 -1
 0 0 0 -1 0 1 1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 25 vertices
 0 0 0 0 0 1 0
 0 -1 0 0 0 1 1
 1 1 1 1 1 -1 -3
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 -1 0 0 1 1
 0 -1 -1 0 0 1 2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 0 0 -1 0 1 1
 0 -1 0 -1 0 1 2
 0 0 0 0 -1 1 1
 1 1 1 0 1 -1 -2
 1 2 1 1 0 -1 -3
 1 1 1 1 0 -1 -2
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 24 vertices
 0 0 0 0 0 1 0
 0 -1 0 0 0 1 1
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 0 -1 0 0 1 1
 0 -1 -1 0 0 1 2
 0 0 0 -1 0 1 1
 0 -1 0 -1 0 1 2
 1 1 1 1 1 -1 -3
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 1 1 0 1 1 -1 -2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 1 1 1 0 1 -1 -2
 0 0 0 0 -1 1 1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 25 vertices
 0 0 0 0 0 1 0
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 0 -1 0 0 1 1
 0 0 0 -1 0 1 1
 1 1 1 1 1 -1 -3
 1 0 1 1 1 -1 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 1 1 0 1 1 -1 -2
 1 0 0 1 1 -1 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 1 1 1 0 1 -1 -2
 1 0 1 0 1 -1 -1
 0 1 0 0 -1 1 0
 0 0 0 0 -1 1 1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 22 vertices
 1 1 1 1 1 -1 -3
 0 0 0 0 0 1 0
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 1 1 0 1 1 -1 -2
 0 0 -1 0 0 1 1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 1 1 1 0 1 -1 -2
 0 0 0 -1 0 1 1
 1 1 1 1 0 -1 -2
 0 0 0 0 -1 1 1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 20 vertices
 1 1 1 1 1 -1 -3
 0 0 0 0 0 1 0
 1 0 1 1 1 -1 -2
 0 -1 0 0 0 1 1
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 1 1 0 1 1 -1 -2
 0 0 -1 0 0 1 1
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 1 1 1 0 1 -1 -2
 0 0 0 -1 0 1 1
 1 1 1 1 0 -1 -2
 0 0 0 0 -1 1 1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 23 vertices
 0 0 0 1 1 0 -1
 0 0 1 0 1 0 -1
 -1 0 0 0 0 1 1
 0 0 0 0 0 1 0
 -1 -1 0 0 0 1 2
 0 -1 0 0 0 1 1
 0 0 0 0 1 0 0
 1 1 1 1 1 -1 -3
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 1 1 0 1 1 -1 -2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 1 1 1 0 1 -1 -2
 0 0 0 0 -1 1 1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 25 vertices
 0 0 0 1 1 0 -1
 0 0 1 0 1 0 -1
 0 0 0 0 0 1 0
 0 -1 0 0 0 1 1
 0 0 0 0 1 0 0
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 0 1 1 -1 -1
 1 1 0 1 1 -1 -2
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 0 1 -1 -1
 1 1 1 0 1 -1 -2
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 28 vertices centrally symmetric
 -1 0 0 0 0 1 1
 0 0 0 0 0 1 0
 -1 -1 -1 0 -1 2 3
 0 0 1 0 1 0 -1
 -1 -1 0 0 0 1 2
 0 -1 0 0 0 1 1
 -1 0 0 -1 0 1 2
 0 0 0 -1 0 1 1
 -1 -1 -1 -1 -1 2 4
 0 0 0 1 1 0 -1
 0 1 0 0 1 0 -1
 -1 0 -1 0 0 1 2
 0 0 -1 0 0 1 1
 0 0 0 0 1 0 0
 0 0 0 0 -1 1 1
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 -1 0 0 -1 1 2
 0 0 0 -1 -1 1 2
 1 1 1 1 1 -1 -3
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 -1 0 -1 1 2
 1 1 1 0 1 -1 -2
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 23 vertices
 0 0 0 0 0 1 0
 0 0 0 1 1 0 -1
 0 0 1 0 1 0 -1
 0 -1 0 0 0 1 1
 0 1 0 0 1 0 -1
 0 0 -1 0 0 1 1
 0 0 0 -1 0 1 1
 0 0 0 0 1 0 0
 0 0 0 0 -1 1 1
 1 1 1 1 1 -1 -3
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 -1 0 0 -1 1 2
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 -1 0 -1 1 2
 0 0 0 -1 -1 1 2
 1 1 0 1 1 -1 -2
 1 1 1 0 1 -1 -2
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 24 vertices
 -1 0 0 0 0 1 1
 0 0 0 0 0 1 0
 0 0 0 1 1 0 -1
 0 0 1 0 1 0 -1
 0 1 0 0 1 0 -1
 -1 0 -1 0 0 1 2
 0 0 -1 0 0 1 1
 -1 0 0 -1 0 1 2
 0 0 0 -1 0 1 1
 0 0 0 0 1 0 0
 1 1 1 1 1 -1 -3
 0 0 0 0 -1 1 1
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 1 1 0 1 1 -1 -2
 1 1 1 0 1 -1 -2
 0 0 -1 0 -1 1 2
 0 0 0 -1 -1 1 2
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 25 vertices
